Time;II;Pleth
hh:mm:ss.000';mV';mV'
'00:53:04.524';61;10.57
'00:53:04.524';21;7.7
'00:53:04.601';-4;6.05
'00:53:04.601';-15;6.41
'00:53:04.601';-17;7.17
'00:53:04.629';-16;8.2
'00:53:04.657';-14;9.51
'00:53:04.657';-14;10.79
'00:53:04.705';-12;11.73
'00:53:04.705';-10;12.37
'00:53:04.705';-9;12.02
'00:53:04.739';-14;11.56
'00:53:04.775';-21;11.02
'00:53:04.775';-29;10.59
'00:53:04.824';-38;10.68
'00:53:04.824';-45;12.3
'00:53:04.824';-51;12.47
'00:53:04.859';-54;10.46
'00:53:04.908';-55;7.41
'00:53:04.908';-55;3.89
'00:53:04.908';-56;0.57
'00:53:04.959';-54;-20.72
'00:53:04.959';-53;102.02
'00:53:05.009';-54;113.14
'00:53:05.009';-55;8.34
'00:53:05.009';-58;-47.03
'00:53:05.059';-60;-46.14
'00:53:05.059';-61;-41.67
'00:53:05.109';-62;-35.55
'00:53:05.109';-63;-27.42
'00:53:05.109';-64;-18.6
'00:53:05.159';-66;-5.8
'00:53:05.159';-79;8.41
'00:53:05.209';-107;14.88
'00:53:05.209';-142;11.53
'00:53:05.209';-171;6.06
'00:53:05.259';-189;3
'00:53:05.259';-195;1.65
'00:53:05.308';-188;1.41
'00:53:05.308';-177;1.3
'00:53:05.308';-161;1.68
'00:53:05.360';-145;2.38
'00:53:05.360';-130;3.61
'00:53:05.408';-117;4.98
'00:53:05.408';-104;6.39
'00:53:05.408';-94;7.17
'00:53:05.459';-89;7.67
'00:53:05.459';-87;7.75
'00:53:05.507';-89;8
'00:53:05.507';-94;10.22
'00:53:05.507';-97;16.22
'00:53:05.557';-99;21.29
'00:53:05.557';-97;16.7
'00:53:05.591';-94;11.96
'00:53:05.591';-90;8.55
'00:53:05.637';-86;6.03
'00:53:05.637';-81;-9.29
'00:53:05.672';-78;39.78
'00:53:05.672';-76;115.42
'00:53:05.719';-73;-10.08
'00:53:05.719';-73;-47.24
'00:53:05.755';-72;-42.1
'00:53:05.755';-73;-38.04
'00:53:05.790';-73;-32.09
'00:53:05.790';-72;-26.3
'00:53:05.825';-72;-19.86
'00:53:05.825';-72;-9.7
'00:53:05.875';-78;4.72
'00:53:05.875';-98;12.98
'00:53:05.921';-130;9.99
'00:53:05.921';-164;3.85
'00:53:05.957';-189;-1.81
'00:53:05.957';-199;-4.51
'00:53:06.005';-196;-5.17
'00:53:06.005';-183;-5.11
'00:53:06.005';-165;-4.06
'00:53:06.040';-147;-1.93
'00:53:06.040';-131;1.28
'00:53:06.089';-116;5.09
'00:53:06.089';-103;7.23
'00:53:06.124';-93;8.32
'00:53:06.124';-86;8.88
'00:53:06.173';-85;8.92
'00:53:06.173';-89;9.16
'00:53:06.209';-93;10.31
'00:53:06.209';-99;13.56
'00:53:06.259';-102;15.16
'00:53:06.259';-103;11.69
'00:53:06.308';-102;6.91
'00:53:06.308';-98;3.67
'00:53:06.308';-94;0.72
'00:53:06.341';-88;-19.54
'00:53:06.375';-83;123.59
'00:53:06.375';-80;93.97
'00:53:06.408';-79;-19.02
'00:53:06.408';-78;-45.79
'00:53:06.458';-78;-42.04
'00:53:06.458';-77;-36.65
'00:53:06.508';-77;-31.65
'00:53:06.508';-77;-26.28
'00:53:06.508';-78;-17.97
'00:53:06.542';-79;-3.67
'00:53:06.590';-89;12.12
'00:53:06.590';-113;17.57
'00:53:06.590';-147;12.83
'00:53:06.640';-178;6.33
'00:53:06.640';-197;2.93
'00:53:06.673';-203;1.56
'00:53:06.673';-196;0.98
'00:53:06.708';-182;0.98
'00:53:06.708';-167;0.99
'00:53:06.757';-151;1.94
'00:53:06.757';-136;3.06
'00:53:06.808';-122;4.79
'00:53:06.808';-110;6.05
'00:53:06.808';-100;7.52
'00:53:06.858';-93;8.28
'00:53:06.858';-91;7.93
'00:53:06.892';-94;7.71
