Time;Pleth;II
hh:mm:ss.000';mV';mV'
'00:23:58.200';-151;8.66
'00:23:58.200';-139;2.59
'00:23:58.200';-128;-9.33
'00:23:58.200';-120;-16.68
'00:23:58.300';-112;-7.63
'00:23:58.300';-106;58.41
'00:23:58.300';-99;29.95
'00:23:58.300';-93;-22.83
'00:23:58.300';-85;-30.7
'00:23:58.400';-81;-20.31
'00:23:58.400';-77;-13.88
'00:23:58.400';-71;-10.03
'00:23:58.400';-67;-6.62
'00:23:58.400';-63;-0.91
'00:23:58.400';-60;9.67
'00:23:58.500';-61;9.87
'00:23:58.500';-71;7.21
'00:23:58.500';-86;5.55
'00:23:58.500';-107;8.59
'00:23:58.500';-127;11.94
'00:23:58.600';-145;11.97
'00:23:58.600';-161;12.28
'00:23:58.600';-175;12.95
'00:23:58.600';-184;13.44
'00:23:58.700';-189;12.45
'00:23:58.700';-190;10.87
'00:23:58.700';-185;10.05
'00:23:58.700';-178;10.03
'00:23:58.700';-168;10.88
'00:23:58.800';-155;9.99
'00:23:58.800';-143;9.51
'00:23:58.800';-132;8.5
'00:23:58.800';-122;5.43
'00:23:58.800';-112;2.07
'00:23:58.800';-105;11.44
'00:23:58.900';-98;53.65
'00:23:58.900';-91;29.94
'00:23:58.900';-86;-41.62
'00:23:58.900';-80;-39.29
'00:23:58.900';-74;-31.74
'00:23:59.000';-69;-23.45
'00:23:59.000';-64;-20.28
'00:23:59.000';-61;-19.2
'00:23:59.000';-58;-15.08
'00:23:59.100';-56;-11.54
'00:23:59.100';-59;-8.21
'00:23:59.100';-71;-3.75
'00:23:59.100';-88;-0.59
'00:23:59.100';-109;3.63
'00:23:59.200';-131;6.12
'00:23:59.200';-148;5.65
'00:23:59.200';-163;4.81
'00:23:59.200';-177;2.3
'00:23:59.300';-184;-2.35
'00:23:59.300';-187;-5.34
'00:23:59.300';-187;-3.05
'00:23:59.300';-183;1.32
'00:23:59.300';-174;6.18
'00:23:59.400';-160;11.42
'00:23:59.400';-148;11.71
'00:23:59.400';-137;10.77
'00:23:59.400';-126;11.76
'00:23:59.400';-117;10.96
'00:23:59.500';-108;6.94
'00:23:59.500';-100;3.35
'00:23:59.500';-96;4.93
'00:23:59.500';-90;5.33
'00:23:59.500';-84;6.1
'00:23:59.600';-80;6.62
'00:23:59.600';-74;6.71
'00:23:59.600';-69;13.01
'00:23:59.600';-64;51.14
'00:23:59.600';-59;31.58
'00:23:59.700';-55;-46.7
'00:23:59.700';-52;-52.34
'00:23:59.700';-49;-43.24
'00:23:59.700';-48;-32.88
'00:23:59.700';-47;-26.75
'00:23:59.800';-47;-17.5
'00:23:59.800';-46;-12.43
'00:23:59.800';-50;-10.11
'00:23:59.800';-61;-8.77
'00:23:59.800';-81;-5.24
'00:23:59.900';-106;1.52
'00:23:59.900';-132;5.95
'00:23:59.900';-155;9.41
'00:23:59.900';-175;9.22
'00:23:59.900';-192;6.9
'00:24:00.000';-204;4.44
'00:24:00.000';8525;2.39
'00:24:00.000';-9827;-0.69
'00:24:00.000';-8865;-2.83
'00:24:00.000';-9091;-2.13
'00:24:00.000';-9834;-1.16
'00:24:00.100';-10770;3.24
'00:24:00.100';10101;12
'00:24:00.100';420;19.91
'00:24:00.100';-3959;22.26
'00:24:00.100';-5735;22.14
'00:24:00.100';-6248;20.52
'00:24:00.200';-6168;21.65
'00:24:00.200';-5827;23.27
'00:24:00.200';-5385;42.88
'00:24:00.200';-4917;84.66
'00:24:00.200';-4461;48.43
'00:24:00.300';-4034;-23.78
'00:24:00.300';-3642;-18.64
'00:24:00.300';-3286;-17.1
'00:24:00.300';-2962;-15.78
'00:24:00.300';-2666;-15.15
'00:24:00.400';-2404;-14.51
'00:24:00.400';-2167;-11.2
'00:24:00.400';-1954;-4.03
'00:24:00.400';-1768;2.24
'00:24:00.400';-1611;5.86
'00:24:00.500';-1476;14.9
'00:24:00.500';-1362;21.33
'00:24:00.500';-1259;20.05
'00:24:00.500';-1166;13.56
'00:24:00.500';-1079;3.02
'00:24:00.600';7737;-9.2
'00:24:00.600';-10538;-12.95
'00:24:00.600';-9507;-6.41
'00:24:00.600';-9667;4.02
'00:24:00.600';-10352;15.03
'00:24:00.700';10606;22.59
'00:24:00.700';9676;23.99
'00:24:00.700';8775;17.71
'00:24:00.700';-808;9.67
'00:24:00.700';-5080;0.2
'00:24:00.800';-6752;-1.12
'00:24:00.800';-7169;40.45
'00:24:00.800';-6999;27.77
'00:24:00.800';-6573;-15.35
'00:24:00.800';-6055;-45.88
'00:24:00.900';-5521;-42.79
'00:24:00.900';-5005;-39.23
'00:24:00.900';-4524;-35.84
'00:24:00.900';-4081;-31
'00:24:01.000';-3681;-22.32
'00:24:01.000';-3319;-10.07
'00:24:01.000';-2991;1.54
'00:24:01.000';-2705;10.85
'00:24:01.000';-2458;17.05
'00:24:01.100';-2242;23.65
'00:24:01.100';-2048;27.13
'00:24:01.100';-1874;23.76
'00:24:01.100';7021;20.29
'00:24:01.100';10659;15.29
'00:24:01.200';-10093;9.33
'00:24:01.200';-10198;1.36
'00:24:01.200';-10834;-3.39
'00:24:01.200';10166;-1.66
'00:24:01.200';9276;2.67
'00:24:01.300';8415;4.19
'00:24:01.300';7608;0.34
'00:24:01.300';6863;-3.71
