Time;Pleth;II
hh:mm:ss.000';mv';mV'
'20:56:11.161';26;8.52
'20:56:11.161';-53;3.91
'20:56:11.196';-105;-2.85
'20:56:11.196';-131;-6.11
'20:56:11.246';-138;-6.98
'20:56:11.246';-134;-6.28
'20:56:11.296';-124;-4.71
'20:56:11.296';-111;-3.23
'20:56:11.296';-100;-1.27
'20:56:11.330';-90;0.18
'20:56:11.380';-80;0.44
'20:56:11.380';-72;1.37
'20:56:11.380';-64;2.06
'20:56:11.427';-55;3.03
'20:56:11.427';-47;4.31
'20:56:11.462';-42;5.34
'20:56:11.462';-44;6.07
'20:56:11.513';-51;7.34
'20:56:11.513';-57;9.2
'20:56:11.513';-64;11.99
'20:56:11.547';-66;13.11
'20:56:11.594';-67;10.13
'20:56:11.594';-67;7.01
'20:56:11.594';-61;4.95
'20:56:11.629';-56;3.44
'20:56:11.663';-51;1.21
'20:56:11.663';-48;-0.32
'20:56:11.712';-46;-8.38
'20:56:11.712';-43;-6.04
'20:56:11.712';-42;60.02
'20:56:11.746';-42;56.5
'20:56:11.782';-43;24.81
'20:56:11.782';-45;-21.54
'20:56:11.830';-47;-32.9
'20:56:11.830';-49;-29.65
'20:56:11.830';-50;-24.85
'20:56:11.877';-51;-16.52
'20:56:11.877';-53;-5.39
'20:56:11.913';-61;3.01
'20:56:11.913';-93;7.17
'20:56:11.947';-164;5.58
'20:56:11.980';-222;-0.23
'20:56:11.980';-251;-8.52
'20:56:12.029';-260;-12.78
'20:56:12.029';-252;-13.39
'20:56:12.063';-235;-11.81
'20:56:12.063';-213;-9.15
'20:56:12.097';-189;-6.45
'20:56:12.097';-169;-3.52
'20:56:12.146';-151;-0.87
'20:56:12.146';-135;1.49
'20:56:12.180';-123;3.64
'20:56:12.180';-110;5.28
'20:56:12.229';-97;6.59
'20:56:12.229';-84;8.02
'20:56:12.266';-76;9.29
'20:56:12.266';-76;9.82
'20:56:12.302';-78;10.13
'20:56:12.302';-82;10.79
'20:56:12.346';-86;13.11
'20:56:12.346';-87;12.45
'20:56:12.380';-86;9.56
'20:56:12.380';-83;6.83
'20:56:12.429';-79;4.57
'20:56:12.429';-75;2.83
'20:56:12.429';-69;1.82
'20:56:12.464';-66;1.56
'20:56:12.496';-64;-5.68
'20:56:12.496';-63;28.77
'20:56:12.546';-61;83.19
'20:56:12.546';-61;46.83
'20:56:12.580';-61;-0.48
'20:56:12.580';-62;-26.34
'20:56:12.630';-62;-29.17
'20:56:12.630';-62;-28.06
'20:56:12.630';-61;-23.42
'20:56:12.679';-60;-15.42
'20:56:12.679';-60;-3.48
'20:56:12.730';-69;1.92
'20:56:12.730';-113;0.34
'20:56:12.764';-181;-4.73
'20:56:12.764';-231;-11.08
'20:56:12.799';-255;-14.73
'20:56:12.799';-258;-15.33
'20:56:12.845';-250;-14.17
'20:56:12.845';-231;-12.54
'20:56:12.877';-206;-9.77
'20:56:12.877';-183;-4.98
'20:56:12.912';-161;-0.38
'20:56:12.912';-144;4.6
'20:56:12.947';-130;7.76
'20:56:12.995';-117;10.11
'20:56:12.995';-104;11.69
'20:56:12.995';-93;12.16
'20:56:13.030';-85;12.4
'20:56:13.079';-81;13.02
'20:56:13.079';-84;13.94
'20:56:13.079';-90;15.91
'20:56:13.113';-94;20.84
'20:56:13.113';-94;23.57
'20:56:13.146';-92;19.57
'20:56:13.180';-89;17.97
'20:56:13.180';-83;17.22
'20:56:13.213';-78;16.53
'20:56:13.213';-73;15.83
'20:56:13.246';-69;14.85
'20:56:13.280';-65;7.02
'20:56:13.280';-62;13.14
'20:56:13.318';-62;84.48
'20:56:13.318';-61;62.83
'20:56:13.363';-62;13.25
'20:56:13.363';-64;-26.11
'20:56:13.396';-63;-32.64
'20:56:13.396';-63;-31.06
'20:56:13.431';-62;-27.6
'20:56:13.431';-62;-21.65
'20:56:13.479';-62;-11.17
'20:56:13.479';-71;-1.93
'20:56:13.513';-111;1.66
'20:56:13.513';-180;-0.14
'20:56:13.546';-229;-5.7
'20:56:13.580';-252;-11.23
'20:56:13.580';-257;-13.15
'20:56:13.630';-247;-12.68
'20:56:13.630';-231;-11.52
'20:56:13.630';-210;-9.86
'20:56:13.663';-187;-7.99
'20:56:13.696';-167;-5.64
'20:56:13.696';-151;-4.68
'20:56:13.745';-138;-3.84
'20:56:13.745';-125;-3.03
'20:56:13.778';-113;-1.95
'20:56:13.778';-101;0.22
'20:56:13.827';-90;2.45
'20:56:13.827';-85;4.43
'20:56:13.865';-84;5.7
'20:56:13.865';-86;6.45
'20:56:13.865';-90;7.46
'20:56:13.912';-93;9.57
'20:56:13.912';-94;13.33
'20:56:13.946';-92;12.78
'20:56:13.995';-85;9.98
'20:56:13.995';-81;8.11
'20:56:13.995';-74;6.99
'20:56:14.030';-68;6.36
'20:56:14.030';-64;5.7
'20:56:14.063';-60;5.27
'20:56:14.097';-57;-1.7
'20:56:14.097';-54;16.91
'20:56:14.146';-54;99.67
'20:56:14.146';-53;50.48
'20:56:14.180';-52;-1.13
'20:56:14.180';-53;-31.03
'20:56:14.229';-54;-33.39
'20:56:14.229';-53;-31.67
'20:56:14.229';-52;-27.76
'20:56:14.263';-52;-21.22
'20:56:14.296';-53;-10.12
'20:56:14.296';-64;0.5
'20:56:14.347';-110;5.2
'20:56:14.347';-181;2.48
'20:56:14.347';-229;-3.05
'20:56:14.382';-251;-8.51
'20:56:14.419';-255;-10.3
'20:56:14.419';-245;-9.36
'20:56:14.464';-228;-7.23
'20:56:14.464';-205;-3.26
'20:56:14.511';-185;1.56
'20:56:14.511';-164;4.63
'20:56:14.511';-149;5.67
'20:56:14.561';-135;6.49
'20:56:14.561';-122;6.95
'20:56:14.597';-110;7.22
'20:56:14.597';-97;7.39
'20:56:14.647';-85;7.7
'20:56:14.647';-78;8.12
'20:56:14.695';-77;8.29
'20:56:14.695';-80;8.4
'20:56:14.695';-85;8.49
'20:56:14.729';-89;9.39
'20:56:14.729';-90;11.37
'20:56:14.763';-89;11.54
'20:56:14.796';-86;9.37
'20:56:14.796';-80;7.72
'20:56:14.836';-73;6.2
'20:56:14.836';-67;4.85
'20:56:14.894';-61;3.96
'20:56:14.894';-57;2.54
'20:56:14.894';-55;-7.24
'20:56:14.933';-54;40.58
'20:56:14.933';-55;92.32
'20:56:14.996';-56;39.74
'20:56:14.996';-57;-9.03
'20:56:14.996';-56;-32
'20:56:15.031';-53;-32
'20:56:15.031';-51;-29.41
'20:56:15.079';-51;-25.16
'20:56:15.079';-52;-15.99
'20:56:15.113';-53;-3.85
'20:56:15.113';-64;5.68
'20:56:15.148';-111;8.34
'20:56:15.196';-185;4.43
'20:56:15.196';-236;-1.31
'20:56:15.196';-261;-4.71
'20:56:15.230';-264;-6.22
'20:56:15.230';-253;-6.52
'20:56:15.279';-232;-6.08
'20:56:15.279';-208;-5.06
'20:56:15.313';-185;-3.48
'20:56:15.313';-163;-1.86
'20:56:15.363';-143;-0.34
'20:56:15.363';-128;0.72
'20:56:15.397';-115;2.59
'20:56:15.397';-102;4.03
'20:56:15.433';-90;4.98
'20:56:15.433';-80;5.57
'20:56:15.468';-73;5.68
'20:56:15.468';-73;5.11
'20:56:15.513';-77;3.59
'20:56:15.513';-80;-0.57
'20:56:15.563';-83;-2.78
'20:56:15.563';-82;-4.79
